2017-08-14 06:54:27,0x607519a2,51:6d:27:b2:85:9f (No ID),27:0e:dc:7c:37:a5 (No ID)
2017-08-14 06:56:33,0xaf9a92d9,79:6d:82:40:90:41 (No ID),ac:e6:4b:0a:74:81 (PLAYBULB)
2017-08-14 06:57:11,0xaf9aa2af,79:6d:82:40:90:41 (No ID),ac:e6:4b:0a:74:81 (PLAYBULB)
2017-08-14 07:01:40,0x50656d6a,5f:4a:0b:9f:b2:f7 (No ID),da:68:f2:6f:ac:72 (Eve Room 4A04)
2017-08-14 07:02:10,0x50654cd5,41:b8:ba:2a:c4:9d (No ID),eb:6e:e4:03:a0:67 (Eve Energy 556E)
2017-08-14 07:02:30,0xaf9aabab,08:66:98:e9:3e:1a (No ID),eb:6e:e4:03:a0:67 (Eve Energy 556E)
2017-08-14 07:03:39,0xaf9ab521,41:b8:ba:2a:c4:9d (No ID),f0:3a:a4:b1:3d:f0 (Eve Weather 943D)
2017-08-14 07:04:02,0xaf9ab320,72:e9:84:7a:88:b9 (No ID),eb:6e:e4:03:a0:67 (Eve Energy 556E)
2017-08-14 07:04:17,0x506572e1,41:b8:ba:2a:c4:9d (No ID),f0:3a:a4:b1:3d:f0 (Eve Weather 943D)
2017-08-14 07:04:51,0x50656ad5,41:b8:ba:2a:c4:9d (No ID),da:68:f2:6f:ac:72 (Eve Room 4A04)
2017-08-14 07:07:29,0x50656aa5,08:66:98:ed:1e:1a (No ID),fa:1b:ef:55:41:c8 (E\x83\xd1\xe4x\xfIA\x7\xe4\xfc\x9a^\xecx)
2017-08-14 07:08:03,0xaf9aaa99,41:b8:ba:2a:c4:9d (No ID),ac:e6:4b:0a:74:81 (PLAYBULB)
2017-08-14 07:08:19,0xaf9a9c6c,41:b8:ba:2a:c4:9d (No ID),ac:e6:4b:0a:74:81 (PLAYBULB)
2017-08-14 07:09:12,0xaf9a951f,41:b8:ba:2a:c4:9d (No ID),ac:e6:4b:0a:74:81 (PLAYBULB)
2017-08-14 07:09:29,0xaf9aa35f,08:66:98:ed:1e:1a (No ID),fa:1b:ef:55:41:c8 (Eve Motion 31A7)
2017-08-14 07:09:50,0x506573a0,41:b8:ba:2a:c4:9d (No ID),ac:e6:4b:0a:74:81 (PLAYBULB)
2017-08-14 07:10:06,0xaf9abc55,41:b8:ba:2a:c4:9d (No ID),ac:e6:4b:0a:74:81 (PLAYBULB)
2017-08-14 07:11:08,0x50655295,41:b8:ba:2a:c4:9d (No ID),ac:e6:4b:0a:74:81 (PLAYBULB)
2017-08-14 07:11:29,0xaf9a83d8,41:b8:ba:2a:c4:9d (No ID),ac:e6:4b:0a:74:81 (PLAYBULB)
2017-08-14 07:15:39,0x50654b20,63:d9:d1:68:9b:a2 (No ID),fa:1b:ef:55:41:c8 (Eve Motion 31A7)
2017-08-14 07:15:43,0xaf9a9a97,63:d9:d1:68:9b:a2 (No ID),fa:67:4f:5e:5c:ca (Eve Door 91B3)
2017-08-14 07:16:28,0xaf9a921e,63:d9:d1:68:9b:a2 (No ID),ac:e6:4b:0a:74:81 (PLAYBULB)
2017-08-14 07:17:23,0x50655567,63:d9:d1:68:9b:a2 (No ID),ac:e6:4b:0a:74:81 (PLAYBULB)
2017-08-14 07:18:22,0x20746e61,20:c3:8f:ec:29:dc (Instant Pot Smart),74:73:6e:49:09:12 (No ID)
2017-08-14 07:19:02,0x50654d9d,63:d9:d1:68:9b:a2 (No ID),ac:e6:4b:0a:74:81 (PLAYBULB)
2017-08-14 07:22:46,0x5065741f,63:d9:d1:68:9b:a2 (No ID),eb:6e:e4:03:a0:67 (Eve Energy 556E)
2017-08-14 07:23:01,0x50656ce2,08:66:98:ed:1e:1a (No ID),eb:6e:e4:03:a0:67 (Eve Energy 556E)
2017-08-14 07:23:01,0x506544ae,08:66:98:ed:1e:1a (No ID),eb:6e:e4:03:a0:67 (Eve Energy 556E)
2017-08-14 07:25:22,0xaf9aa223,63:d9:d1:68:9b:a2 (No ID),70:b3:d5:cf:3b:67 (00000b67)
