from,to,weight
s10,s03,2608150
s10,s01,6774762
s10,s04,2545194
s10,s06,2110295
s10,s02,4859299
s10,s08,3349413
s10,s12,132047
s10,s07,5069134
s10,s05,2520089
s10,s11,371757
s10,s09,2860263
s07,s10,18968330
s07,s01,1046982
s07,s11,109938
s03,s10,13525557
s03,s01,659947
s03,s11,119765
s08,s10,17068814
s08,s01,2595880
s08,s11,172564
s04,s10,14700959
s04,s01,532551
s04,s11,111073
s12,s10,89916
s12,s01,1664198
s12,s11,43392
s02,s10,20915039
s02,s01,1912702
s02,s11,169037
s01,s03,356031
s01,s04,292195
s01,s06,342496
s01,s10,5095421
s01,s02,698628
s01,s08,563404
s01,s12,23335808
s01,s07,466309
s01,s05,284740
s01,s11,115156266
s01,s09,103541
s09,s10,15952939
s09,s01,256334
s09,s11,143032
s11,s03,27284
s11,s01,6699363
s11,s04,28775
s11,s06,21361
s11,s10,83419
s11,s02,28368
s11,s08,40803
s11,s12,550
s11,s07,25177
s11,s05,32749
s11,s09,36004
s05,s10,14699478
s05,s01,521238
s05,s11,127340
s06,s10,11542118
s06,s01,578410
s06,s11,113695
