from,to,weight
s10,s03,2633587
s10,s01,6094919
s10,s04,2557897
s10,s06,2520352
s10,s02,4664809
s10,s08,3436764
s10,s12,136773
s10,s07,5053601
s10,s05,2548188
s10,s11,261571
s10,s09,2866075
s07,s10,18444758
s07,s01,369775
s03,s10,14773392
s03,s01,531009
s08,s10,18011081
s08,s01,2725379
s04,s10,14577925
s04,s01,492547
s12,s10,85682
s12,s01,1183038
s12,s11,57084
s02,s10,21134570
s02,s01,4150001
s01,s03,298639
s01,s04,282098
s01,s06,301014
s01,s10,4159090
s01,s02,731980
s01,s08,512493
s01,s12,3672289
s01,s07,284136
s01,s05,267693
s01,s11,143872546
s01,s09,104487
s09,s10,15898715
s09,s01,269736
s11,s10,81544
s11,s01,7360117
s11,s12,1996
s05,s10,14704245
s05,s01,496830
s06,s10,14584976
s06,s01,617567
