BLE Results:,,Wi-Fi Results:,,Total Results:,
True Positives,33,True Positives,34,True Positives,67
False Positives,2,False Positives,1,False Positives,3
False Negatives,5,False Negatives,1,False Negatives,6
Number of events logged,38,Number of events logged,35,Number of events logged,73
Number of events identified,36,Number of events identified,35,Number of events identified,71
Event identification success rate,86.84210526,Event identification success rate,97.14285714,Event identification success rate,91.78082192
Event identification false positive rate,5.555555556,Event identification false positive rate,2.857142857,Event identification false positive rate,4.225352113
Event identification false negative rate,13.15789474,Event identification false negative rate,2.857142857,Event identification false negative rate,8.219178082
True Positives:,,,,,
8/22/17 5:58,Eve Motion 31A7,1,,,
8/22/17 5:59,Instant Pot Smart,1,,,
8/22/17 6:00,Eve Motion 31A7,1,,,
8/22/17 6:04,PLAYBULB,1,,,
8/22/17 6:06,Eve Energy 556E,1,,,
8/22/17 6:10,Eve Weather 943D,1,,,
8/22/17 6:14,Instant Pot Smart,1,,,
8/22/17 6:14,PLAYBULB,1,,,
8/22/17 6:15,Gunbox,1,,,
8/22/17 6:18,Eve Motion 31A7,1,,,
8/22/17 6:19,Eve Room 4A04,1,,,
8/22/17 6:20,Eve Motion 31A7,1,,,
8/22/17 6:23,Eve Motion 31A7,1,,,
8/22/17 6:23,Eve Room 4A04,1,,,
8/22/17 6:24,00000b67,1,,,
8/22/17 6:25,BLELock,1,,,
8/22/17 6:26,Eve Door 91B3,1,,,
8/22/17 16:18,Eve Weather 943D,1,,,
8/22/17 16:23,Eve Room 4A04,1,,,
8/22/17 16:24,Gunbox,1,,,
8/22/17 16:25,Instant Pot Smart,1,,,
8/22/17 16:27,Eve Motion 31A7,1,,,
8/22/17 16:35,PLAYBULB,1,,,
8/22/17 16:36,Eve Energy 556E,1,,,
8/22/17 16:40,Eve Motion 31A7,1,,,
8/22/17 16:40,Gunbox,1,,,
8/22/17 16:41,Eve Energy 556E,1,,,
8/22/17 16:41,Eve Room 4A04,1,,,
8/22/17 16:42,Eve Energy 556E,1,,,
8/22/17 16:42,PLAYBULB,1,,,
8/22/17 16:42,Eve Motion 31A7,1,,,
8/22/17 16:43,Eve Weather 943D,1,,,
8/22/17 16:43,Instant Pot Smart,1,,,
8/22/17 5:57,Motion,1,,,
8/22/17 6:00,Insight,1,,,
8/22/17 6:01,Mini,1,,,
8/22/17 6:02,Switch2,1,,,
8/22/17 6:03,NetCam,1,,,
8/22/17 6:05,Switch1,1,,,
8/22/17 6:08,Switch3,1,,,
8/22/17 6:13,Motion,1,,,
8/22/17 6:16,Mini,1,,,
8/22/17 6:16,Switch1,1,,,
8/22/17 6:16,Switch4,1,,,
8/22/17 6:17,NetCam,1,,,
8/22/17 6:18,Insight,1,,,
8/22/17 6:18,Switch2,1,,,
8/22/17 6:18,Switch3,1,,,
8/22/17 8:18,Motion,1,,,
8/22/17 14:16,Switch1,1,,,
8/22/17 14:19,Switch1,1,,,
8/22/17 16:19,Switch4,1,,,
8/22/17 16:20,Insight,1,,,
8/22/17 16:26,Switch1,1,,,
8/22/17 16:28,Motion,1,,,
8/22/17 16:29,Switch2,1,,,
8/22/17 16:30,NetCam,1,,,
8/22/17 16:31,Mini,1,,,
8/22/17 16:37,Switch3,1,,,
8/22/17 16:39,Switch3,1,,,
8/22/17 16:39,Motion,1,,,
8/22/17 16:39,Insight,1,,,
8/22/17 16:40,Switch2,1,,,
8/22/17 16:41,Switch4,1,,,
8/22/17 16:42,Switch1,1,,,
8/22/17 16:42,NetCam,1,,,
8/22/17 16:43,Mini,1,,,
False Positives:,,,,,
8/22/17 14:48,Eve Door 91B3,1,??,,
8/22/17 16:07,Eve Motion 31A7,1,??,,
8/22/17 15:18,Motion,1,,,
False Negatives:,,,,,
8/22/17 6:07,Eve Weather 943D,1,Dropped packet,,
8/22/17 6:09,Eve Room 4A04,1,Dropped packet,,
8/22/17 6:15,Eve Energy 556E,1,Connection already established,,
8/22/17 14:17,Eve Room 4A04,1,Dropped packet,,
8/22/17 14:18,Eve Weather 943D,1,Dropped packet,,
8/22/17 6:13,Switch4,1,Dropped packet,,
,,,sent by router,,
