from,to,weight
s10,s03,1749598
s10,s01,75810
s10,s04,1775444
s10,s06,1780763
s10,s02,3459061
s10,s08,3031617
s10,s12,73487
s10,s07,3430965
s10,s05,1758181
s10,s11,177933
s10,s09,1966927
s07,s10,14893207
s07,s01,468051
s03,s10,11524279
s03,s01,493947
s08,s10,14810768
s08,s01,1764660
s04,s10,12102691
s04,s01,411608
s12,s10,50380
s12,s01,582165
s12,s11,2772
s02,s10,16239176
s02,s01,3522772
s01,s03,233854
s01,s04,203927
s01,s06,226678
s01,s10,65734
s01,s02,1069754
s01,s08,405191
s01,s12,1774102
s01,s07,214134
s01,s05,208050
s01,s11,39424086
s01,s09,76552
s09,s10,13520218
s09,s01,202507
s11,s10,61139
s11,s01,2928426
s05,s10,11497593
s05,s01,391717
s06,s10,11698577
s06,s01,439323
