Device,Time,Time,,,,
08:66:98:ed:1e:19,8/25/17 8:09,8/25/17 8:39,,a0:18:28:33:34:f8,8/25/17 8:09,8/25/17 8:33
08:66:98:ed:1e:19,8/25/17 8:39,8/25/17 11:10,,a0:18:28:33:34:f8,8/25/17 8:39,8/25/17 8:51
08:66:98:ed:1e:19,8/25/17 11:23,8/25/17 19:58,,a0:18:28:33:34:f8,8/25/17 9:45,8/25/17 15:42
14:91:82:24:dd:35,8/25/17 8:09,8/25/17 8:39,,a0:18:28:33:34:f8,8/25/17 16:36,8/25/17 16:57
14:91:82:24:dd:35,8/25/17 8:39,8/25/17 11:10,,a0:18:28:33:34:f8,8/25/17 17:06,8/25/17 17:16
14:91:82:24:dd:35,8/25/17 11:23,8/25/17 19:58,,a0:18:28:33:34:f8,8/25/17 19:23,8/25/17 19:58
14:91:82:c8:6a:09,8/25/17 8:09,8/25/17 8:39,,,,
14:91:82:c8:6a:09,8/25/17 8:39,8/25/17 11:10,,,,709
14:91:82:c8:6a:09,8/25/17 11:23,8/25/17 19:58,,,,
60:38:e0:ee:7c:e5,8/25/17 8:09,8/25/17 8:39,,,,
60:38:e0:ee:7c:e5,8/25/17 8:39,8/25/17 11:11,,,,
60:38:e0:ee:7c:e5,8/25/17 11:23,8/25/17 19:58,,,,
94:10:3e:2b:7a:55,8/25/17 8:09,8/25/17 8:39,,,,
94:10:3e:2b:7a:55,8/25/17 8:39,8/25/17 11:10,,,,
94:10:3e:2b:7a:55,8/25/17 11:23,8/25/17 19:58,,,,
a0:18:28:33:34:f8,8/25/17 8:09,8/25/17 8:33,,,,
a0:18:28:33:34:f8,8/25/17 8:39,8/25/17 8:51,,,,
a0:18:28:33:34:f8,8/25/17 9:46,8/25/17 11:10,,,,
a0:18:28:33:34:f8,8/25/17 11:23,8/25/17 15:43,,,,
a0:18:28:33:34:f8,8/25/17 16:37,8/25/17 16:57,,,,
a0:18:28:33:34:f8,8/25/17 17:06,8/25/17 17:16,,,,
a0:18:28:33:34:f8,8/25/17 19:23,8/25/17 19:58,,,,
b4:75:0e:0d:33:d5,8/25/17 8:09,8/25/17 8:39,,,,
b4:75:0e:0d:33:d5,8/25/17 8:39,8/25/17 11:10,,,,
b4:75:0e:0d:33:d5,8/25/17 11:23,8/25/17 19:58,,,,
b4:75:0e:0d:94:65,8/25/17 8:09,8/25/17 8:39,,,,
b4:75:0e:0d:94:65,8/25/17 8:39,8/25/17 11:11,,,,
b4:75:0e:0d:94:65,8/25/17 11:23,8/25/17 19:58,,,,
b8:27:eb:09:1a:81,8/25/17 8:09,8/25/17 8:39,,,,
b8:27:eb:09:1a:81,8/25/17 8:39,8/25/17 11:11,,,,
b8:27:eb:09:1a:81,8/25/17 11:23,8/25/17 19:58,,,,
ec:1a:59:e4:fd:41,8/25/17 8:09,8/25/17 8:39,,,,
ec:1a:59:e4:fd:41,8/25/17 8:39,8/25/17 11:11,,,,
ec:1a:59:e4:fd:41,8/25/17 11:23,8/25/17 19:58,,,,
ec:1a:59:f1:fb:21,8/25/17 8:09,8/25/17 8:39,,,,
ec:1a:59:f1:fb:21,8/25/17 8:39,8/25/17 11:11,,,,
ec:1a:59:f1:fb:21,8/25/17 11:23,8/25/17 19:58,,,,
ec:4f:82:73:d1:1c,8/25/17 8:09,8/25/17 8:39,,,,
ec:4f:82:73:d1:1c,8/25/17 8:39,8/25/17 19:58,,,,
