from,to,weight
s10,s03,1766834
s10,s01,64212
s10,s04,1837950
s10,s06,1837524
s10,s02,3588660
s10,s08,2618937
s10,s07,3593291
s10,s05,1826463
s10,s11,295922
s10,s09,2033253
s07,s10,15678575
s07,s01,315946
s03,s10,11442548
s03,s01,367734
s08,s10,14582036
s08,s01,2038234
s04,s10,12118078
s04,s01,406805
s12,s01,1962588
s12,s11,22026
s02,s10,16947991
s02,s01,4671678
s01,s03,199362
s01,s04,201586
s01,s06,215425
s01,s10,62670
s01,s02,618902
s01,s08,397945
s01,s12,4935117
s01,s07,193488
s01,s05,207084
s01,s11,248173608
s01,s09,85054
s09,s10,14105818
s09,s01,167927
s11,s10,75850
s11,s01,15197060
s11,s12,156
s05,s10,11883241
s05,s01,395491
s06,s10,12152423
s06,s01,370536
