from,to,weight
s10,s03,1056038
s10,s01,2719170
s10,s04,1049884
s10,s06,1065611
s10,s02,2083182
s10,s08,3319071
s10,s07,1989879
s10,s05,1064339
s10,s11,262606
s10,s09,919276
s07,s10,9927976
s07,s01,4771321
s07,s02,154
s07,s09,72614
s03,s10,7998802
s03,s01,3729889
s03,s02,984
s03,s09,41304
s08,s10,13409648
s08,s01,4766149
s08,s02,154
s08,s09,50886
s04,s10,7914156
s04,s01,3850596
s04,s02,154
s04,s09,40831
s02,s01,6933341
s02,s04,384
s02,s06,636
s02,s10,11568831
s02,s08,78
s02,s05,152
s02,s09,62993
s01,s03,107359
s01,s04,120822
s01,s06,109828
s01,s10,2025151
s01,s02,768014
s01,s08,189381
s01,s07,119412
s01,s05,102556
s01,s11,55151622
s01,s09,61235
s09,s03,10710
s09,s01,3837811
s09,s04,11265
s09,s06,14380
s09,s10,6853922
s09,s02,34234
s09,s08,12638
s09,s07,37585
s09,s05,14396
s11,s10,144395
s11,s01,7869218
s11,s12,279395
s05,s10,8130080
s05,s01,3595847
s05,s02,607
s05,s09,51495
s06,s10,8279101
s06,s01,4309427
s06,s02,606
s06,s09,46766
