Event Number,Device Name,Action
1,Playbulb,Turn on
2,Playbulb,Turn off
3,Switch1,Turn on
4,Switch1,Turn off
5,Switch2,Turn on
6,Switch2,Turn off
7,Switch3,Turn on
8,Switch3,Turn off
9,Switch4,Turn on
10,Switch4,Turn off
11,Mini,Turn on
12,Mini,Turn off
13,Eve Energy,Turn on
14,Eve Energy,Turn off
15,Eve Weather,Get temperature on patio
16,Eve Motion,Activate motion sensor
17,Insight,Turn on
18,Insight,Turn off
19,NetCam,Activate motion
20,Plugable,Turn on
21,Plugable,Turn off
22,Eve Room,Get temperature in living room
23,Motion,Activate motion sensor
24,Bike Lock,Unlock
25,BioLock,Unlock
26,Door,Open
27,Door,Close
28,Steves-phone,Leave house
29,Steves-phone,Arrive House
30,Instant Pot,Turn on
31,Instant Pot,Turn off
32,Gunsafe ,Open
33,Gunsafe ,Close
