Event Number,Device Name,Action,Time
1,Homebridge,Turn on logging,
2,Alfa Card,Turn on WiFi sniffer,
3,Ubertooth One,Turn on 3x Bluetooth snifffers,
4,Playbulb,Turn on,
5,Switch1,Turn on,
6,Switch2,Turn on,
7,Switch3,Turn on,
8,Switch4,Turn on,
9,Mini,Turn on,
10,Eve Energy,Turn on,
11,Eve Weather,Get temperature on patio,
12,Eve Motion,Activate motion sensor,
13,Insight,Turn on,
14,NetCam,Activate motion,
15,Plugable,Turn on,
16,Eve Room,Get temperature in living room,
17,Motion,Activate motion sensor,
18,Switch1,Turn off,
19,Switch2,Turn off,
20,Switch3,Turn off,
21,Switch4,Turn off,
22,Mini,Turn off,
23,Insight,Turn off,
24,Playbulb,Turn off,
25,Plugable,Turn off,
26,Eve Energy,Turn Off,
27,Bike Lock,Unlock,
28,BioLock,Unlock,
29,Door,Open/Close,
30,Steves-phone,Leave house,
31,Eve Room,Get temperature in living room,
32,Eve Weather,Get temperature on patio,
33,Switch1,Turn on,
34,Switch1,Turn off,
35,Steves-phone,Arrive house,
36-61,Repeat steps 4-29,,
62,Instant Pot,Turn on,
63,Gunsafe ,Open,
64,Ubertooth One,Turn off Bluetooth sniffers,
65,Alfa Card,Turn off WiFi sniffer,
66,Homebridge,Turn off logging,
