Manuf,Device Type,Device Name,MAC,IP Address
Calix,Wireless Router,Prancing Pony,EC:4F:82:73:D1:1A,206.55.216.151
Belkin,Camera,NetCam,EC:1A:59:E4:FD:41,192.168.1.44
Belkin,Switch,Switch1,B4:75:0E:0D:33:D5,192.168.1.40
Belkin,Switch,Switch2,B4:75:0E:0D:94:65,192.168.1.41
Belkin,Switch,Switch3,94:10:3E:2B:7A:55,192.168.1.42
Belkin,Switch,Switch4,14:91:82:C8:6A:09,192.168.1.7
Belkin,Motion Sensor,Motion,EC:1A:59:F1:FB:21,192.168.1.43
Belkin,Switch,Insight,14:91:82:24:DD:35,192.168.1.47
WeMo,Switch,Mini,60:38:E0:EE:7C:E5,192.168.1.51
Raspberry Pi,Computer (3B),Pi,B8:27:EB:09:1A:81,192.168.1.50
Apple,iPhone 6+,Steves-phone,A0:18:28:33:34:F8,192.168.1.4
Apple,TV 2,Apple-TV,08:66:98:ED:1E:19,192.168.1.54
